Date,Location,Vehicle_Type,Violation_Type,Fine_Amount (₹),Repeat_Offender,Weather_Condition,Time_of_Day,Road_Condition,Driver_Age_Group,Passengers_Count,Traffic_Density,License_Status,Accident_Involved,Speed_Recorded (km/h),Vehicle_Registration_State,Officer_ID,Previous_Violations,Insurance_Penalty (₹),Fine_Payment_Status
14-05-2024,MG Road,Truck,Wrong-Side Driving,5629,FALSE,Rainy,Evening,Wet,26-35,1,High,Expired,FALSE,44,Uttar Pradesh,1,2,3297,Unpaid
18-03-2024,Golf Course Road,Truck,DUI,8640,FALSE,Rainy,Night,Under Construction,18-25,0,High,Learner,FALSE,103,Haryana,10,2,2065,Disputed
19-03-2024,Sikanderpur,Auto-rickshaw,DUI,6970,FALSE,Cloudy,Evening,Under Construction,26-35,3,Medium,Valid,TRUE,88,Delhi,10,3,1644,Unpaid
18-05-2024,Sohna Road near Iris Tech Park,Bike,Speeding,2812,TRUE,Rainy,Evening,Slippery,18-25,1,High,Valid,TRUE,64,Rajasthan,7,1,975,Paid
08-05-2024,NH-8,Auto-rickshaw,No Seatbelt,1000,FALSE,Stormy,Evening,Wet,50+,3,Low,Valid,FALSE,103,Rajasthan,10,1,4307,Disputed
10-11-2024,Sheetala Mata Road,Bus,Red-Light Jump,1596,TRUE,Clear,Afternoon,Under Construction,50+,5,Medium,Suspended,TRUE,9,Rajasthan,8,3,610,Disputed
28-01-2024,MG Road,Car,Wrong-Side Driving,5541,FALSE,Foggy,Morning,Wet,18-25,4,Low,Expired,TRUE,118,Delhi,3,1,894,Unpaid
28-02-2024,Sohna Road near Iris Tech Park,Bus,No Seatbelt,1000,FALSE,Stormy,Evening,Slippery,26-35,3,Low,Valid,TRUE,78,Rajasthan,7,3,723,Disputed
14-09-2024,IFFCO Chowk,Bus,DUI,7762,FALSE,Foggy,Morning,Slippery,26-35,2,Low,Learner,FALSE,34,Punjab,5,2,2581,Unpaid
25-03-2024,Sheetala Mata Road,Truck,DUI,7195,TRUE,Clear,Evening,Wet,36-50,0,High,Learner,TRUE,110,Haryana,7,2,1344,Unpaid
09-12-2024,Udyog Vihar,Bus,Red-Light Jump,3870,TRUE,Foggy,Morning,Slippery,50+,1,Low,Suspended,TRUE,8,Delhi,1,2,1043,Disputed
23-06-2024,Huda City Center,Truck,Red-Light Jump,2045,TRUE,Clear,Evening,Under Construction,18-25,3,Medium,Valid,FALSE,79,Delhi,4,3,4151,Paid
26-01-2024,Golf Course Road,Car,DUI,7331,FALSE,Stormy,Morning,Dry,50+,1,Medium,Expired,TRUE,10,Punjab,6,1,2304,Disputed
16-12-2024,Manesar Toll,Truck,Speeding,2682,FALSE,Stormy,Evening,Wet,18-25,5,High,Valid,FALSE,91,Uttar Pradesh,10,1,4847,Disputed
05-02-2024,Cyber City,Car,No Seatbelt,1000,TRUE,Rainy,Afternoon,Under Construction,50+,0,Medium,Suspended,TRUE,53,Delhi,1,2,3207,Disputed
18-10-2024,Sikanderpur,Bus,Wrong-Side Driving,7471,FALSE,Rainy,Night,Slippery,18-25,24,Low,Expired,TRUE,70,Delhi,9,1,1329,Paid
16-03-2024,IFFCO Chowk,Bus,Red-Light Jump,2656,TRUE,Stormy,Afternoon,Slippery,18-25,5,Low,Learner,TRUE,107,Delhi,9,1,2052,Disputed
13-11-2024,Sheetala Mata Road,Auto-rickshaw,Red-Light Jump,3647,TRUE,Cloudy,Morning,Dry,18-25,3,High,Expired,FALSE,64,Delhi,7,1,1072,Paid
25-09-2024,Signature Tower Chowk,Auto-rickshaw,DUI,,FALSE,Clear,Evening,Dry,50+,5,High,Expired,FALSE,97,Haryana,7,2,3407,Paid
23-04-2024,Sikanderpur,Truck,Red-Light Jump,3804,FALSE,Rainy,Afternoon,Dry,50+,0,Medium,Learner,TRUE,118,Delhi,6,3,2326,Paid
23-06-2024,NH-8,Car,Wrong-Side Driving,5383,TRUE,Clear,Morning,Under Construction,50+,2,Low,Expired,FALSE,21,Delhi,3,1,3774,Disputed
11-02-2024,Sohna Road near Iris Tech Park,Bus,No Seatbelt,1000,TRUE,Stormy,Afternoon,Wet,50+,8,Low,Suspended,FALSE,107,Delhi,5,2,3976,Unpaid
05-09-2024,Sohna Road near Iris Tech Park,Car,No Seatbelt,1000,FALSE,Stormy,Morning,Dry,18-25,2,Medium,Valid,TRUE,50,Uttar Pradesh,5,3,576,Unpaid
05-04-2024,Sheetala Mata Road,Bike,No Helmet,1000,TRUE,Stormy,Night,Dry,26-35,2,Medium,Expired,TRUE,16,Delhi,10,2,2235,Unpaid
28-04-2024,Sheetala Mata Road,Auto-rickshaw,Speeding,3053,FALSE,Clear,Night,Under Construction,26-35,3,Low,Expired,FALSE,109,Haryana,7,3,2044,Unpaid
25-02-2024,Sohna Road near Iris Tech Park,Car,No Seatbelt,1000,FALSE,Rainy,Morning,Dry,26-35,2,High,Suspended,FALSE,18,Uttar Pradesh,6,3,4787,Disputed
07-09-2024,IFFCO Chowk,Bike,Red-Light Jump,,TRUE,Rainy,Evening,Under Construction,26-35,0,Low,Suspended,FALSE,38,Delhi,1,2,4882,Disputed
03-05-2024,Huda City Center,Auto-rickshaw,Red-Light Jump,2256,FALSE,Rainy,Evening,Under Construction,36-50,4,Medium,Learner,FALSE,56,Punjab,6,1,1281,Paid
24-11-2024,Sohna Road near Iris Tech Park,Car,No Seatbelt,1000,FALSE,Foggy,Afternoon,Wet,26-35,5,Medium,Valid,TRUE,20,Rajasthan,9,2,1856,Unpaid
07-07-2024,MG Road,Truck,Wrong-Side Driving,2274,TRUE,Foggy,Evening,Wet,50+,3,High,Expired,TRUE,36,Rajasthan,10,3,4605,Paid
28-06-2024,Sikanderpur,Bike,Red-Light Jump,2386,TRUE,Stormy,Evening,Under Construction,26-35,2,High,Learner,FALSE,52,Uttar Pradesh,9,1,1361,Unpaid
20-01-2024,Rajiv Chowk,Bus,Red-Light Jump,4030,TRUE,Cloudy,Evening,Dry,36-50,5,Medium,Expired,TRUE,45,Haryana,2,3,1971,Paid
22-10-2024,Udyog Vihar,Car,Wrong-Side Driving,4865,TRUE,Cloudy,Morning,Dry,36-50,2,Medium,Suspended,TRUE,80,Rajasthan,7,2,3601,Disputed
28-09-2024,Golf Course Road,Bus,Red-Light Jump,2395,TRUE,Rainy,Morning,Under Construction,50+,3,Medium,Learner,TRUE,52,Delhi,5,3,2541,Unpaid
20-01-2024,Rajiv Chowk,Bus,Wrong-Side Driving,7488,FALSE,Cloudy,Afternoon,Wet,36-50,1,High,Learner,FALSE,106,Rajasthan,5,1,1397,Paid
26-03-2024,Sikanderpur,Bike,No Helmet,1000,FALSE,Rainy,Evening,Slippery,26-35,2,High,Valid,FALSE,83,Delhi,9,1,2362,Paid
19-12-2024,Rajiv Chowk,Car,No Seatbelt,1000,FALSE,Cloudy,Night,Wet,18-25,5,Low,Expired,FALSE,85,Delhi,3,2,1543,Unpaid
21-02-2024,Udyog Vihar,Auto-rickshaw,Speeding,2838,FALSE,Foggy,Night,Under Construction,26-35,1,Medium,Expired,FALSE,67,Rajasthan,5,2,4044,Disputed
13-08-2024,Sohna Road near Iris Tech Park,Auto-rickshaw,DUI,9680,TRUE,Cloudy,Morning,Slippery,36-50,2,High,Valid,TRUE,78,Rajasthan,5,3,910,Unpaid
26-05-2024,NH-8,Auto-rickshaw,DUI,6047,FALSE,Rainy,Evening,Under Construction,36-50,1,Medium,Suspended,TRUE,63,Delhi,3,3,2121,Disputed
02-01-2024,Huda City Center,Auto-rickshaw,Red-Light Jump,1717,FALSE,Foggy,Evening,Wet,36-50,5,High,Learner,TRUE,29,Rajasthan,8,3,1070,Disputed
17-01-2024,Sector 29,Bus,Wrong-Side Driving,3296,FALSE,Rainy,Evening,Dry,50+,5,High,Suspended,FALSE,89,Uttar Pradesh,6,2,3625,Unpaid
05-11-2024,Cyber City,Truck,Speeding,4908,FALSE,Cloudy,Evening,Wet,26-35,0,Low,Learner,TRUE,81,Uttar Pradesh,1,2,1123,Disputed
24-06-2024,Udyog Vihar,Auto-rickshaw,Wrong-Side Driving,3508,FALSE,Cloudy,Afternoon,Under Construction,50+,3,High,Expired,FALSE,30,Punjab,7,1,4045,Paid
27-05-2024,Signature Tower Chowk,Auto-rickshaw,Red-Light Jump,3992,FALSE,Rainy,Evening,Slippery,50+,3,High,Learner,FALSE,70,Delhi,7,2,3420,Disputed
23-02-2024,Sector 29,Car,Speeding,2991,TRUE,Cloudy,Evening,Under Construction,36-50,3,Medium,Learner,TRUE,61,Uttar Pradesh,9,1,1621,Paid
27-10-2024,Sohna Road near Iris Tech Park,Bike,No Helmet,1000,TRUE,Foggy,Morning,Dry,26-35,1,Low,Suspended,FALSE,62,Delhi,5,3,4693,Unpaid
12-02-2024,Rajiv Chowk,Car,Speeding,2760,FALSE,Stormy,Morning,Dry,18-25,2,High,Expired,TRUE,105,Punjab,7,2,1261,Disputed
11-07-2024,MG Road,Car,No Seatbelt,1000,TRUE,Foggy,Night,Dry,26-35,5,Low,Learner,TRUE,71,Uttar Pradesh,2,1,637,Unpaid
01-11-2024,Manesar Toll,Bus,No Seatbelt,1000,FALSE,Cloudy,Morning,Slippery,36-50,1,High,Valid,FALSE,32,Uttar Pradesh,1,2,964,Disputed
15-01-2024,Golf Course Road,Truck,Speeding,1757,TRUE,Stormy,Morning,Slippery,36-50,1,Low,Expired,FALSE,33,Haryana,2,1,1272,Paid
22-07-2024,Sohna Road near Iris Tech Park,Bus,DUI,9205,FALSE,Rainy,Evening,Wet,36-50,5,Medium,Suspended,FALSE,36,Uttar Pradesh,1,2,3510,Unpaid
11-04-2024,Udyog Vihar,Auto-rickshaw,Wrong-Side Driving,3204,FALSE,Clear,Afternoon,Wet,36-50,1,High,Expired,FALSE,40,Rajasthan,8,2,2433,Disputed
22-08-2024,Cyber City,Bike,Speeding,2681,FALSE,Clear,Afternoon,Under Construction,26-35,0,Medium,Valid,FALSE,73,Haryana,7,3,3080,Unpaid
15-07-2024,Sector 29,Auto-rickshaw,Speeding,1247,FALSE,Rainy,Afternoon,Slippery,50+,3,Low,Learner,TRUE,6,Rajasthan,4,2,2385,Paid
26-08-2024,Huda City Center,Truck,DUI,5725,FALSE,Stormy,Morning,Dry,36-50,5,Medium,Suspended,FALSE,37,Uttar Pradesh,7,2,2482,Paid
10-12-2024,Sector 56,Bus,Speeding,3054,FALSE,Clear,Evening,Wet,26-35,1,High,Expired,FALSE,94,Delhi,8,3,3060,Disputed
18-03-2024,Manesar Toll,Car,DUI,8231,FALSE,Clear,Afternoon,Wet,18-25,5,High,Expired,TRUE,110,Punjab,5,1,1719,Disputed
07-09-2024,Sikanderpur,Car,No Seatbelt,1000,FALSE,Foggy,Morning,Wet,18-25,3,Medium,Expired,TRUE,101,Uttar Pradesh,7,2,4506,Paid
02-07-2024,Rajiv Chowk,Auto-rickshaw,No Seatbelt,1000,FALSE,Foggy,Afternoon,Dry,18-25,0,Medium,Expired,TRUE,77,Delhi,5,2,2011,Unpaid
20-05-2024,Signature Tower Chowk,Car,Wrong-Side Driving,7974,TRUE,Foggy,Morning,Slippery,26-35,2,High,Valid,TRUE,25,Punjab,2,3,4313,Disputed
27-09-2024,Manesar Toll,Auto-rickshaw,Speeding,4641,FALSE,Rainy,Morning,Slippery,18-25,0,Low,Suspended,TRUE,96,Haryana,9,3,2121,Paid
09-01-2024,Signature Tower Chowk,Bike,Wrong-Side Driving,5259,FALSE,Rainy,Afternoon,Under Construction,18-25,5,High,Suspended,TRUE,78,Punjab,9,2,3846,Paid
01-03-2024,Sikanderpur,Truck,No Seatbelt,1000,FALSE,Foggy,Night,Wet,36-50,3,Low,Valid,TRUE,78,Delhi,5,1,1154,Disputed
22-10-2024,Cyber City,Bus,Speeding,2402,TRUE,Rainy,Morning,Slippery,50+,2,Medium,Valid,TRUE,71,Uttar Pradesh,5,2,2027,Unpaid
22-11-2024,Signature Tower Chowk,Truck,DUI,7672,FALSE,Clear,Evening,Under Construction,50+,5,Medium,Learner,FALSE,99,Rajasthan,10,3,4053,Unpaid
02-11-2024,Golf Course Road,Bus,Red-Light Jump,4396,FALSE,Cloudy,Afternoon,Wet,26-35,5,Medium,Learner,TRUE,103,Rajasthan,9,2,1597,Disputed
07-07-2024,Sector 56,Auto-rickshaw,DUI,6606,FALSE,Rainy,Night,Under Construction,36-50,0,Low,Expired,FALSE,13,Rajasthan,10,1,764,Disputed
01-12-2024,Signature Tower Chowk,Truck,No Seatbelt,1000,TRUE,Foggy,Afternoon,Dry,18-25,3,Low,Expired,TRUE,36,Uttar Pradesh,6,1,579,Paid
04-10-2024,Manesar Toll,Truck,Speeding,3141,TRUE,Stormy,Afternoon,Under Construction,50+,3,Medium,Valid,FALSE,20,Haryana,6,2,3072,Disputed
01-01-2024,Sector 56,Bike,No Helmet,1000,FALSE,Stormy,Morning,Slippery,26-35,0,Medium,Suspended,FALSE,103,Delhi,7,3,2190,Unpaid
05-08-2024,IFFCO Chowk,Bus,Wrong-Side Driving,7289,FALSE,Rainy,Evening,Dry,26-35,1,Low,Valid,TRUE,99,Punjab,5,2,1789,Unpaid
20-06-2024,Sikanderpur,Bus,No Seatbelt,1000,FALSE,Rainy,Morning,Slippery,26-35,9,Medium,Suspended,FALSE,19,Delhi,10,2,1019,Unpaid
25-06-2024,MG Road,Auto-rickshaw,Red-Light Jump,2158,FALSE,Foggy,Evening,Wet,18-25,5,Medium,Learner,FALSE,13,Uttar Pradesh,6,3,3122,Disputed
25-09-2024,Cyber City,Bike,No Helmet,1000,TRUE,Cloudy,Morning,Dry,26-35,2,High,Learner,TRUE,76,Punjab,4,1,1269,Unpaid
23-11-2024,Golf Course Road,Auto-rickshaw,Speeding,2478,TRUE,Rainy,Afternoon,Slippery,36-50,5,High,Valid,FALSE,111,Haryana,10,3,3168,Unpaid
18-05-2024,Sector 56,Car,Red-Light Jump,2697,FALSE,Stormy,Afternoon,Under Construction,36-50,4,High,Suspended,TRUE,112,Punjab,5,3,3863,Disputed
13-10-2024,IFFCO Chowk,Bike,Speeding,,FALSE,Stormy,Night,Dry,26-35,2,Medium,Learner,FALSE,95,Haryana,4,2,4371,Disputed
06-08-2024,Sector 56,Car,Wrong-Side Driving,6811,FALSE,Rainy,Evening,Dry,18-25,2,Medium,Suspended,FALSE,61,Haryana,3,2,4180,Unpaid
04-10-2024,Signature Tower Chowk,Bus,Wrong-Side Driving,6780,FALSE,Foggy,Evening,Dry,36-50,3,Medium,Learner,FALSE,14,Haryana,1,2,3988,Paid
01-11-2024,Golf Course Road,Bus,Wrong-Side Driving,2319,FALSE,Stormy,Morning,Under Construction,18-25,4,Low,Learner,TRUE,108,Uttar Pradesh,2,1,3970,Unpaid
09-01-2024,Signature Tower Chowk,Bike,DUI,9662,FALSE,Cloudy,Afternoon,Dry,18-25,2,Medium,Learner,FALSE,113,Uttar Pradesh,4,3,1686,Paid
17-02-2024,Cyber City,Bike,Wrong-Side Driving,5589,TRUE,Foggy,Afternoon,Under Construction,26-35,1,High,Learner,TRUE,59,Rajasthan,8,2,2815,Disputed
09-02-2024,Sohna Road near Iris Tech Park,Truck,Wrong-Side Driving,3606,FALSE,Rainy,Evening,Slippery,50+,2,Medium,Learner,TRUE,68,Uttar Pradesh,10,2,2427,Paid
28-11-2024,Sector 56,Car,No Seatbelt,1000,FALSE,Cloudy,Night,Wet,26-35,4,Low,Suspended,TRUE,71,Delhi,9,3,2025,Paid
02-12-2024,MG Road,Bus,No Seatbelt,1000,TRUE,Foggy,Afternoon,Dry,18-25,2,Medium,Suspended,TRUE,44,Rajasthan,3,2,3250,Paid
11-10-2024,Cyber City,Bus,Red-Light Jump,2260,FALSE,Foggy,Evening,Wet,36-50,3,Medium,Valid,FALSE,30,Haryana,3,2,2793,Unpaid
20-12-2024,Sector 29,Bus,DUI,8532,TRUE,Clear,Night,Under Construction,26-35,2,High,Expired,FALSE,115,Haryana,10,2,3259,Unpaid
14-02-2024,NH-8,Auto-rickshaw,Wrong-Side Driving,6873,TRUE,Foggy,Afternoon,Slippery,26-35,0,High,Expired,FALSE,65,Delhi,4,1,1081,Paid
06-01-2024,Huda City Center,Car,Speeding,3313,TRUE,Clear,Night,Wet,50+,3,High,Learner,FALSE,70,Rajasthan,8,2,1443,Disputed
25-01-2024,MG Road,Auto-rickshaw,Red-Light Jump,4529,TRUE,Foggy,Morning,Slippery,18-25,1,Medium,Learner,FALSE,8,Punjab,2,1,1223,Disputed
12-08-2024,Sheetala Mata Road,Bike,Red-Light Jump,3870,FALSE,Stormy,Night,Wet,50+,2,Low,Suspended,FALSE,23,Punjab,10,2,3944,Paid
16-11-2024,Sector 29,Car,Speeding,4872,FALSE,Rainy,Morning,Wet,18-25,1,Low,Valid,FALSE,19,Uttar Pradesh,5,1,4258,Paid
15-03-2024,MG Road,Car,DUI,9455,FALSE,Cloudy,Evening,Slippery,26-35,2,High,Suspended,TRUE,94,Haryana,9,1,1414,Disputed
23-09-2024,NH-8,Bike,Wrong-Side Driving,6324,TRUE,Foggy,Morning,Slippery,26-35,3,Low,Expired,TRUE,41,Punjab,6,2,995,Disputed
12-12-2024,Cyber City,Truck,Speeding,3645,FALSE,Clear,Morning,Under Construction,50+,1,High,Valid,FALSE,109,Uttar Pradesh,1,1,933,Unpaid
01-01-2024,Sikanderpur,Truck,No Seatbelt,1000,FALSE,Foggy,Night,Wet,26-35,2,Medium,Valid,TRUE,32,Delhi,7,2,3386,Paid
26-01-2024,Sector 29,Bike,No Helmet,1000,TRUE,Rainy,Afternoon,Under Construction,18-25,2,High,Valid,FALSE,81,Rajasthan,10,3,3443,Unpaid
21-10-2024,Manesar Toll,Bike,Red-Light Jump,4854,FALSE,Clear,Morning,Slippery,18-25,3,Low,Expired,FALSE,62,Haryana,4,2,1219,Paid
15-05-2024,IFFCO Chowk,Bus,Red-Light Jump,4402,FALSE,Foggy,Afternoon,Dry,18-25,1,High,Expired,TRUE,59,Haryana,4,1,1739,Paid
07-09-2024,Manesar Toll,Auto-rickshaw,Speeding,2177,FALSE,Cloudy,Night,Under Construction,36-50,4,Low,Learner,FALSE,70,Punjab,6,1,3295,Paid
13-08-2024,Huda City Center,Truck,Wrong-Side Driving,6749,FALSE,Foggy,Afternoon,Wet,50+,1,Medium,Expired,TRUE,68,Haryana,10,2,1386,Disputed
02-09-2024,Sheetala Mata Road,Car,Speeding,4677,FALSE,Stormy,Evening,Under Construction,26-35,4,High,Expired,FALSE,65,Punjab,4,2,4249,Paid
02-11-2024,Huda City Center,Car,Speeding,4863,FALSE,Stormy,Evening,Slippery,26-35,4,Low,Learner,FALSE,99,Haryana,10,1,2512,Disputed
01-01-2024,Sector 29,Bus,No Seatbelt,1000,TRUE,Rainy,Afternoon,Dry,50+,5,High,Suspended,TRUE,120,Delhi,9,2,3053,Paid
08-07-2024,Sector 56,Bus,No Seatbelt,1000,FALSE,Rainy,Afternoon,Under Construction,36-50,4,High,Learner,TRUE,42,Rajasthan,6,3,564,Paid
11-03-2024,MG Road,Car,No Seatbelt,1000,TRUE,Rainy,Morning,Slippery,26-35,2,Medium,Valid,FALSE,39,Punjab,3,3,2362,Paid
22-01-2024,Cyber City,Bike,Wrong-Side Driving,4602,FALSE,Foggy,Night,Dry,36-50,1,High,Suspended,TRUE,76,Delhi,5,1,1937,Disputed
03-05-2024,IFFCO Chowk,Truck,DUI,8621,FALSE,Rainy,Night,Slippery,26-35,3,High,Suspended,FALSE,42,Rajasthan,6,1,3300,Paid
02-08-2024,Rajiv Chowk,Bus,DUI,9858,FALSE,Rainy,Night,Dry,18-25,1,Medium,Valid,TRUE,25,Rajasthan,2,3,3830,Disputed
15-08-2024,NH-8,Bus,No Seatbelt,1000,TRUE,Foggy,Morning,Wet,26-35,4,High,Expired,TRUE,18,Rajasthan,4,2,4763,Paid
23-07-2024,Sikanderpur,Car,No Seatbelt,1000,FALSE,Cloudy,Night,Wet,36-50,4,High,Expired,FALSE,25,Haryana,9,3,616,Paid
09-12-2024,MG Road,Truck,DUI,,FALSE,Clear,Afternoon,Slippery,18-25,4,Medium,Valid,FALSE,82,Rajasthan,4,1,1754,Paid
16-10-2024,Udyog Vihar,Auto-rickshaw,Red-Light Jump,2950,FALSE,Foggy,Morning,Dry,26-35,2,Medium,Suspended,FALSE,77,Punjab,9,3,1835,Paid
10-05-2024,Sector 29,Bus,DUI,7512,FALSE,Cloudy,Morning,Slippery,18-25,1,Medium,Suspended,TRUE,84,Haryana,2,1,1102,Disputed
03-07-2024,Sheetala Mata Road,Auto-rickshaw,No Seatbelt,1000,FALSE,Foggy,Evening,Dry,50+,0,Medium,Learner,TRUE,16,Rajasthan,2,2,1347,Disputed
23-11-2024,Signature Tower Chowk,Truck,Speeding,4287,FALSE,Cloudy,Afternoon,Under Construction,50+,3,High,Expired,FALSE,61,Delhi,8,1,3860,Paid
13-08-2024,Sikanderpur,Bike,Speeding,1289,FALSE,Cloudy,Afternoon,Under Construction,18-25,2,Medium,Expired,TRUE,38,Delhi,10,3,777,Disputed
13-01-2024,Signature Tower Chowk,Bus,Red-Light Jump,4415,TRUE,Clear,Night,Dry,18-25,4,Low,Valid,TRUE,34,Uttar Pradesh,3,3,4463,Paid
09-08-2024,Sector 29,Auto-rickshaw,Red-Light Jump,3102,FALSE,Cloudy,Morning,Wet,26-35,2,High,Valid,TRUE,110,Rajasthan,4,1,698,Unpaid
19-08-2024,Rajiv Chowk,Bus,Speeding,2046,FALSE,Stormy,Morning,Under Construction,36-50,2,Medium,Valid,FALSE,34,Delhi,5,2,578,Disputed
24-04-2024,MG Road,Bus,Red-Light Jump,,FALSE,Foggy,Night,Dry,50+,5,High,Suspended,FALSE,17,Uttar Pradesh,1,1,3669,Unpaid
01-10-2024,Sikanderpur,Auto-rickshaw,Speeding,2855,FALSE,Clear,Evening,Slippery,26-35,5,Medium,Expired,TRUE,76,Uttar Pradesh,6,1,1088,Disputed
18-08-2024,Cyber City,Truck,Wrong-Side Driving,7476,TRUE,Foggy,Night,Slippery,50+,3,Medium,Valid,TRUE,3,Haryana,9,1,2542,Paid
04-05-2024,Sector 29,Bus,Speeding,1926,TRUE,Rainy,Morning,Under Construction,26-35,2,Medium,Valid,TRUE,89,Uttar Pradesh,3,1,3532,Unpaid
23-07-2024,Huda City Center,Bus,Wrong-Side Driving,5304,TRUE,Cloudy,Evening,Wet,50+,4,Medium,Suspended,FALSE,62,Rajasthan,7,3,2916,Unpaid
27-09-2024,NH-8,Bus,Red-Light Jump,,FALSE,Clear,Evening,Dry,26-35,2,High,Expired,TRUE,7,Uttar Pradesh,9,3,1997,Disputed
18-05-2024,Udyog Vihar,Bus,DUI,5072,FALSE,Clear,Night,Slippery,26-35,2,Medium,Expired,TRUE,57,Haryana,5,1,4010,Unpaid
04-05-2024,Huda City Center,Car,Red-Light Jump,1518,FALSE,Cloudy,Afternoon,Wet,26-35,4,Medium,Expired,FALSE,69,Haryana,1,3,2457,Paid
28-08-2024,Golf Course Road,Truck,Red-Light Jump,2668,TRUE,Stormy,Evening,Under Construction,50+,1,Low,Expired,FALSE,65,Delhi,7,1,4002,Unpaid
10-08-2024,Huda City Center,Truck,DUI,8097,TRUE,Stormy,Night,Under Construction,18-25,3,Low,Suspended,FALSE,71,Punjab,3,3,2259,Disputed
08-04-2024,IFFCO Chowk,Bus,DUI,5407,FALSE,Cloudy,Afternoon,Wet,50+,1,Medium,Expired,FALSE,12,Punjab,4,1,4023,Unpaid
22-02-2024,Udyog Vihar,Bike,Wrong-Side Driving,2724,FALSE,Cloudy,Afternoon,Wet,26-35,3,Low,Expired,TRUE,90,Punjab,9,3,3333,Paid
08-04-2024,Cyber City,Car,Red-Light Jump,3752,FALSE,Cloudy,Evening,Dry,50+,0,Medium,Learner,TRUE,28,Punjab,4,1,1920,Disputed
26-04-2024,Sikanderpur,Car,Wrong-Side Driving,5418,TRUE,Clear,Morning,Under Construction,36-50,0,High,Learner,FALSE,60,Haryana,10,1,3262,Paid
09-10-2024,Golf Course Road,Car,No Seatbelt,,FALSE,Foggy,Afternoon,Wet,36-50,2,Low,Learner,TRUE,51,Rajasthan,4,3,2381,Paid
07-08-2024,NH-8,Truck,Speeding,2397,FALSE,Foggy,Morning,Under Construction,50+,3,Low,Expired,FALSE,103,Rajasthan,5,2,784,Unpaid
01-08-2024,Sikanderpur,Auto-rickshaw,Red-Light Jump,2039,TRUE,Cloudy,Afternoon,Dry,18-25,4,Low,Suspended,TRUE,101,Delhi,6,3,4470,Paid
22-01-2024,Sikanderpur,Bus,Speeding,2139,TRUE,Stormy,Morning,Dry,36-50,1,Medium,Expired,TRUE,27,Punjab,9,3,3142,Paid
28-08-2024,IFFCO Chowk,Bus,No Seatbelt,1000,FALSE,Stormy,Morning,Dry,36-50,1,High,Expired,TRUE,97,Punjab,7,3,2259,Paid
02-11-2024,Sheetala Mata Road,Bike,Red-Light Jump,7885,FALSE,Foggy,Evening,Under Construction,18-25,3,Low,Learner,TRUE,9,Uttar Pradesh,3,1,3815,Disputed
07-02-2024,NH-8,Truck,No Seatbelt,1000,TRUE,Rainy,Morning,Dry,18-25,1,Low,Suspended,TRUE,41,Rajasthan,5,3,2227,Disputed
28-10-2024,Sohna Road near Iris Tech Park,Auto-rickshaw,No Seatbelt,1000,TRUE,Foggy,Afternoon,Slippery,18-25,0,High,Valid,TRUE,113,Haryana,4,2,4324,Unpaid
14-12-2024,Sector 56,Car,Speeding,4776,FALSE,Cloudy,Morning,Dry,50+,4,Medium,Suspended,FALSE,64,Delhi,10,1,4540,Unpaid
14-07-2024,Udyog Vihar,Truck,DUI,9744,FALSE,Foggy,Morning,Under Construction,18-25,5,Medium,Suspended,FALSE,115,Rajasthan,9,1,2739,Unpaid
19-10-2024,Udyog Vihar,Truck,DUI,5558,TRUE,Foggy,Afternoon,Dry,50+,3,Low,Learner,TRUE,97,Punjab,1,3,2770,Disputed
23-01-2024,MG Road,Auto-rickshaw,No Seatbelt,1000,FALSE,Cloudy,Evening,Under Construction,36-50,1,Medium,Learner,TRUE,44,Rajasthan,1,2,1788,Disputed
02-10-2024,Sheetala Mata Road,Auto-rickshaw,Red-Light Jump,1536,TRUE,Clear,Morning,Under Construction,50+,1,Medium,Valid,FALSE,46,Rajasthan,2,2,3610,Disputed
28-02-2024,Signature Tower Chowk,Bus,No Seatbelt,1000,TRUE,Stormy,Afternoon,Slippery,36-50,3,High,Valid,FALSE,91,Uttar Pradesh,9,3,593,Disputed
02-08-2024,Sheetala Mata Road,Auto-rickshaw,DUI,6023,FALSE,Foggy,Night,Under Construction,18-25,5,Medium,Learner,TRUE,85,Rajasthan,5,3,3433,Disputed
26-10-2024,Sikanderpur,Bike,No Helmet,1000,TRUE,Rainy,Afternoon,Under Construction,50+,2,Medium,Suspended,FALSE,21,Haryana,5,2,1806,Unpaid
26-07-2024,Sector 29,Bus,Red-Light Jump,3438,TRUE,Stormy,Afternoon,Wet,36-50,4,Medium,Expired,TRUE,31,Haryana,9,3,3377,Unpaid
26-06-2024,Udyog Vihar,Auto-rickshaw,Red-Light Jump,3725,FALSE,Stormy,Evening,Slippery,26-35,1,Low,Valid,FALSE,79,Delhi,9,2,870,Paid
20-03-2024,IFFCO Chowk,Bus,DUI,9390,FALSE,Stormy,Evening,Under Construction,36-50,5,High,Expired,TRUE,59,Rajasthan,1,2,4971,Paid
15-09-2024,Rajiv Chowk,Bike,Red-Light Jump,4298,FALSE,Cloudy,Evening,Wet,36-50,1,Medium,Suspended,TRUE,55,Delhi,10,3,2028,Disputed
07-09-2024,Sikanderpur,Truck,DUI,6186,TRUE,Cloudy,Night,Dry,36-50,4,High,Suspended,FALSE,91,Haryana,1,1,1230,Unpaid
